,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
11,0ItGyAARjZ8tYxRjcDmgkt,Red Dress,Red Velvet,SM,2015-09-09,0.763,0.856,0,-4.161,1,0.00788,1.43e-05,0.329,0.615,120.001,182301,4
12,3ts0OSZgdjOP0Uu1DvQK4h,Oh Boy,Red Velvet,SM,2015-09-09,0.701,0.766,9,-4.542,0,0.0176,0.0,0.228,0.366,93.99,188948,4
13,6f48SDPW5xu6gUsfLaHOZi,Lady's Room,Red Velvet,SM,2015-09-09,0.742,0.738,5,-4.835,1,0.565,0.0,0.305,0.851,107.024,195611,4
14,7q2qLI13TejYkBr4A5ZhEJ,Time Slip,Red Velvet,SM,2015-09-09,0.897,0.58,8,-4.996,1,0.0422,3.11e-06,0.0578,0.59,99.982,219299,4
15,6RKpcgjYeiC5crivVGNNrZ,Don't U Wait No More,Red Velvet,SM,2015-09-09,0.595,0.838,6,-2.273,1,0.222,0.0,0.0731,0.749,98.946,171403,4
16,74muMkVdMYoR65lhmdzy13,Day 1,Red Velvet,SM,2015-09-09,0.645,0.884,1,-2.801,1,0.112,0.0,0.179,0.708,171.93,206358,4
17,1VfZX787b6l88hpvOXcSXp,Cool World,Red Velvet,SM,2015-09-09,0.747,0.941,9,-2.867,1,0.0876,0.0,0.0438,0.525,115.002,245589,4
18,6koMMQlsRWBwHZXdtWxgUk,7월 7일 One Of These Nights,Red Velvet,SM,2016-03-17,0.436,0.509,6,-5.161,0,0.475,0.0,0.101,0.11,133.653,261942,4
19,6kR8TFJ4BowMMBW2tokFWr,Cool Hot Sweet Love,Red Velvet,SM,2016-03-17,0.664,0.719,7,-4.436,0,0.207,0.0,0.199,0.824,153.039,233478,4
20,7BzhMJxmNDtibkjZUBnNZo,Light Me Up,Red Velvet,SM,2016-03-17,0.612,0.908,6,-3.699,1,0.597,0.0,0.159,0.688,120.013,212997,4
21,4BeYVQC4uQGwEnLOeOo2ch,처음인가요 First Time,Red Velvet,SM,2016-03-17,0.53,0.536,9,-5.145,1,0.504,0.0,0.112,0.312,129.878,242305,4
22,0hVojZWwk9up4n1Az3nAyY,장미꽃 향기는 바람에 날리고 Rose Scent Breeze,Red Velvet,SM,2016-03-17,0.41,0.333,10,-7.09,1,0.878,0.0,0.152,0.208,127.791,292157,4
23,5HiSc2ZCGn8L3cH3qSwzBT,러시안 룰렛 Russian Roulette,Red Velvet,SM,2016-09-07,0.726,0.903,7,-2.277,0,0.055,0.000225,0.158,0.958,129.986,211244,4
24,22v5j98MRwc6p5KgwHvpBZ,Lucky Girl,Red Velvet,SM,2016-09-07,0.6,0.828,6,-3.453,1,0.0299,0.0,0.334,0.66,169.758,203438,4
25,4z5aqQOYYsvjXuXjjhKVJ2,Bad Dracula,Red Velvet,SM,2016-09-07,0.644,0.931,0,-1.842,1,0.207,0.0,0.232,0.668,93.986,188331,4
26,3G6iqKcRzEYwSu9zE2qAMW,Sunny Afternoon,Red Velvet,SM,2016-09-07,0.747,0.841,4,-3.648,0,0.0844,0.0,0.38,0.605,95.028,240405,4
27,21C7B7PWYDW00czamOjleO,Fool,Red Velvet,SM,2016-09-07,0.634,0.699,1,-3.898,1,0.527,5.99e-05,0.0673,0.774,177.941,233540,4
28,5n8SuNZuDaElJQMt0ySzCf,Some Love,Red Velvet,SM,2016-09-07,0.744,0.907,7,-3.154,1,0.0649,0.000685,0.272,0.746,99.988,196818,4
29,6s25gIYsBc8oF0VQFK7wzt,My Dear,Red Velvet,SM,2016-09-07,0.55,0.798,6,-2.681,1,0.327,0.0,0.0905,0.847,201.965,214842,4
30,3wtDVPGUMTHgsVdpr9uYin,세가지 소원 Wish Tree,Red Velvet,SM,2015-12-18,0.563,0.534,5,-4.35,1,0.643,0.0,0.0989,0.344,114.161,238787,3
31,69xdFGM7SJkbDf77s0gJEl,Rookie,Red Velvet,SM,2017-02-01,0.683,0.938,8,-3.723,0,0.0888,0.0,0.331,0.868,164.1,197638,4
32,1IAEhCKD6ZSjnDdeJgvXWA,Little Little,Red Velvet,SM,2017-02-01,0.592,0.711,9,-4.938,1,0.28,0.0,0.0694,0.279,91.926,239811,4
33,7H1ly0lZJ9ebnci5B9t7Nh,Happily Ever After,Red Velvet,SM,2017-02-01,0.665,0.651,8,-6.435,1,0.0399,3.02e-05,0.0504,0.906,155.984,201645,4
34,32ou07yoda0mO4lw9pPpzC,Talk To Me,Red Velvet,SM,2017-02-01,0.584,0.813,8,-4.809,1,0.288,3.68e-06,0.345,0.881,164.79,212109,4
35,3CihjB4pu58o2ititZw9Yg,Body Talk,Red Velvet,SM,2017-02-01,0.526,0.828,6,-5.344,1,0.00652,4.05e-05,0.147,0.158,185.946,219320,4
36,2OIENkx2TGwXbfGgxgs6Dt,마지막 사랑 Last Love,Red Velvet,SM,2017-02-01,0.331,0.509,6,-6.231,1,0.565,0.0,0.108,0.137,129.479,294123,4
37,1rL3u6JsjQT9Cxg1oHTJEK,Would U,Red Velvet,SM,2017-03-31,0.758,0.627,5,-6.466,0,0.497,0.0,0.204,0.544,93.957,203831,4
38,7nKQ5WAcjnG48knyLuo8gO,Red Flavor,Red Velvet,SM,2017-07-09,0.709,0.917,9,-3.315,1,0.0409,0.0,0.0839,0.515,125.042,191139,4
39,59fJbRecO16BIw9L1neEug,You Better Know,Red Velvet,SM,2017-07-09,0.611,0.668,9,-3.093,1,0.256,0.0,0.096,0.402,119.978,250498,4
40,7sEwz6PjhQ1bbSSWb6IBid,Zoo,Red Velvet,SM,2017-07-09,0.667,0.905,1,-4.268,0,0.0366,0.0,0.71,0.697,109.021,204833,4
41,7qCfSyTqh4xGeua7hQXT0Z,Mojito,Red Velvet,SM,2017-07-09,0.623,0.8,11,-4.104,1,0.164,0.0,0.359,0.697,150.988,184737,4
42,5rUWULaKgEK2HozI1wYvZ9,Hear The Sea,Red Velvet,SM,2017-07-09,0.626,0.565,9,-4.861,0,0.533,0.0,0.157,0.471,90.982,202110,4
43,6QCNYRB8RHXGaRlITuWRgL,Rebirth,Red Velvet,SM,2017-08-18,0.769,0.569,6,-4.679,0,0.31,0.000101,0.0674,0.755,86.983,213280,4
44,1vcCAx0FezBSlzQXmR7AQX,떠날 거야,Red Velvet,SM,2018-01-29,0.695,0.646,11,-4.936,0,0.296,0.0,0.146,0.412,111.854,226968,4
45,5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,Red Velvet,SM,2018-01-29,0.714,0.736,2,-3.801,1,0.191,0.0,0.0553,0.814,149.985,210818,4
46,2SahFuW1EZN9MXNVTkxv6F,All Right,Red Velvet,SM,2018-01-29,0.721,0.924,7,-3.071,1,0.135,0.0,0.0427,0.801,124.024,229097,4
47,3H2eAoHtn7YKRq4Qifp56g,Peek-A-Boo,Red Velvet,SM,2018-01-29,0.839,0.902,1,-3.612,0,0.0868,0.00257,0.272,0.639,114.953,189050,4
48,2qonYeTBH7wjIqpfDbNd8N,Look,Red Velvet,SM,2018-01-29,0.761,0.785,7,-4.369,1,0.0792,0.000112,0.142,0.78,111.037,245599,4
49,4agr2R3yG1uZH1NcnETXRA,I Just,Red Velvet,SM,2018-01-29,0.686,0.752,7,-3.442,1,0.586,2.47e-06,0.364,0.906,149.998,188304,4
50,7frQ2zMByCc4UFOGzAIr3x,Kingdom Come,Red Velvet,SM,2018-01-29,0.572,0.743,5,-3.991,0,0.235,5.93e-06,0.0761,0.678,170.123,210162,4
51,6AdhHZfTC4ep1b2v7L0Hfl,Time To Love,Red Velvet,SM,2018-01-29,0.41,0.654,9,-3.966,1,0.14,0.0,0.126,0.341,184.736,195249,4
52,797RIYqtaFG0Slncakq49w,My Second Date,Red Velvet,SM,2018-01-29,0.832,0.759,2,-4.505,1,0.089,6e-05,0.0565,0.767,94.999,194591,4
53,42VsUQkljZvZh8KdQYrBH7,Attaboy,Red Velvet,SM,2018-01-29,0.774,0.785,9,-4.619,1,0.022,0.0,0.138,0.646,104.959,196837,4
54,0l3t6syjbv81bKPy0gw45Z,Perfect 10,Red Velvet,SM,2018-01-29,0.709,0.572,8,-5.878,0,0.56,0.0,0.331,0.564,121.9,209779,4
55,7y0LMECX85fEK3eldqAOU2,About Love,Red Velvet,SM,2018-01-29,0.611,0.82,6,-3.838,1,0.162,0.0,0.17,0.78,191.908,205975,4
56,4uS7VPnhc6rddYXTsvWqzV,Moonlight Melody,Red Velvet,SM,2018-01-29,0.634,0.482,9,-5.813,1,0.654,0.0,0.091,0.32,123.983,220607,3
57,3UgPJrKvOaTFgZ185X80Dx,#Cookie Jar,Red Velvet,SM,2018-07-04,0.682,0.959,11,-2.054,1,0.0159,0.0,0.19,0.893,158.924,213693,4
58,2uUof8u18LCJwFLMwFm0zC,Aitai-tai,Red Velvet,SM,2018-07-04,0.754,0.729,9,-3.328,1,0.0314,1.77e-05,0.162,0.906,131.985,194800,4
59,5rWDZBK5vvpkhdz6R2zoS5,Cause it's you,Red Velvet,SM,2018-07-04,0.697,0.521,9,-3.718,1,0.222,0.0,0.158,0.575,116.95,179960,4
60,381g0b6QZxC13SzA2HRMIc,Power Up,Red Velvet,SM,2018-08-06,0.732,0.934,8,-4.618,1,0.0774,0.00745,0.306,0.898,159.998,202040,4
61,5mtEzYr9nGgp57atg6JwX0,With You,Red Velvet,SM,2018-08-06,0.7,0.8,7,-4.066,1,0.184,0.0,0.202,0.617,102.964,207800,4
62,4JvBfIuKj8ThydmnLtTmOr,Mr. E,Red Velvet,SM,2018-08-06,0.467,0.813,11,-4.81,1,0.261,1.13e-05,0.341,0.793,194.065,218773,4
63,43y2u5KxBknQ9lQ2ILT1Eo,Mosquito,Red Velvet,SM,2018-08-06,0.756,0.851,5,-4.323,0,0.0817,1.15e-05,0.187,0.551,96.057,191147,4
64,7dafpAJczCDB1Pzz7bRSCh,Hit That Drum,Red Velvet,SM,2018-08-06,0.698,0.984,6,-3.764,1,0.173,1.82e-05,0.495,0.519,128.028,192160,4
65,5XTQXTzEVpYq8wL6DZYgSz,Blue Lemonade,Red Velvet,SM,2018-08-06,0.749,0.825,0,-4.447,1,0.0452,0.0,0.0966,0.455,120.014,196093,4
66,78HD9IN4cKE1MMHWeVJPWh,"Bad Boy - English Version, Bonus Track",Red Velvet,SM,2018-08-06,0.723,0.726,2,-4.512,1,0.21,0.0,0.061,0.839,150.011,208667,4
67,4xjVP2Vogo0C72o6Nevq0W,RBB (Really Bad Boy),Red Velvet,SM,2018-11-30,0.719,0.85,2,-3.229,1,0.012,0.000239,0.114,0.367,150.059,188786,4
68,0cZMA3EdKJKrKoGQEeMhFJ,Butterflies,Red Velvet,SM,2018-11-30,0.696,0.776,11,-5.728,0,0.147,8.73e-06,0.0839,0.494,120.008,209201,4
69,0W9HGC75wwxU4YweY045ln,So Good,Red Velvet,SM,2018-11-30,0.567,0.863,6,-3.97,0,0.275,0.0,0.197,0.618,153.899,206944,4
70,1GpDAcUjhk3luk6ce8pOi1,Sassy Me,Red Velvet,SM,2018-11-30,0.744,0.76,0,-5.381,1,0.287,6.4e-05,0.0791,0.494,97.02,186065,4
71,7klUw55UuyxUyGZVsj3Hod,Taste,Red Velvet,SM,2018-11-30,0.466,0.723,1,-5.323,1,0.0878,0.0,0.0737,0.884,199.656,184776,4
72,1IGMiTUqSpmRxmwL2pNX0n,RBB (Really Bad Boy) - English Version,Red Velvet,SM,2018-11-30,0.717,0.867,2,-3.26,1,0.0117,5.46e-05,0.118,0.376,150.109,188471,4
73,0yADs5FhpGm6KyTpCpsRYj,SAPPY,Red Velvet,SM,2019-01-06,0.746,0.93,5,-2.027,0,0.0512,1.28e-06,0.0957,0.466,106.031,199813,4
74,3D0qt4fQGE3Pq52MxFjXak,Sayonara,Red Velvet,SM,2019-02-20,0.498,0.755,0,-4.551,0,0.468,2.67e-06,0.267,0.556,120.064,196200,3
75,7il3ehwwEeRyjQgKPtFADx,Swimming Pool,Red Velvet,SM,2019-05-29,0.609,0.934,8,-0.984,1,0.221,0.0,0.309,0.906,159.95,200827,4
76,0GUbhhI5fRx7BlqlqlhjuB,Zimzalabim,Red Velvet,SM,2019-06-19,0.68,0.878,5,-4.791,0,0.0028,2.22e-05,0.336,0.531,127.991,190860,4
77,5yGTiC0ypN09P4Nl6tE3FY,Sunny Side Up!,Red Velvet,SM,2019-06-19,0.706,0.694,11,-5.555,0,0.149,0.0,0.11,0.586,134.96,203818,4
